Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
3027	605200	Port Chalmers	6	996
3028	605400	St Kilda West	4	958
3029	605500	St Kilda Central	8	1048
3030	605600	St Kilda East	7	1030
3031	605800	Green Island	4	965
3032	605910	Abbotsford	2	935
3033	605920	Concord	7	1010
3034	606100	Mosgiel East	7	1013
3035	606210	Mosgiel South	7	1008
3036	606220	East Taieri	1	901
3037	606300	Bush Road	5	979
3038	606500	Benhar	3	941
3039	606600	Stirling	4	957
3040	606700	Bruce	4	954
3041	606800	Milton	8	1054
3042	606900	Kaitangata	8	1041
3043	607000	Clinton	10	1124
3044	607100	Kaka Point	4	968
3045	607200	Owaka	6	1005
3104	607300	Clutha	4	958
3105	607400	Balclutha	7	1009
3048	607501	Teviot	4	963
3049	607502	Tuapeka	3	950
3050	607600	Tapanui	5	976
3051	607700	Lawrence	8	1035
3052	607800	Roxburgh	7	1012
3053	607900	Ranfurly	6	991
3054	608000	Maniototo	3	937
3055	608100	Naseby	4	966
3057	608302	Dunstan	1	910
3058	608303	Clyde	3	942
3115	608304	Hawea	1	903
3059	608500	Alexandra	4	958
3060	608600	Cromwell	3	951
3061	608700	Frankton	4	955
3062	608800	Wanaka	1	907
3063	609011	Milford	3	942
3122	609013	Glenorchy	4	965
3123	609014	Kingston South	2	915
3065	609022	Kelvin Heights	1	892
3066	609023	Sunshine Bay	3	945
3121	609028	Lake Hayes	1	870
3118	609029	Matukituki	1	906
3124	609031	Outer Wakatipu	1	892
3125	609032	Wakatipu Basin	1	886
3126	609033	Frankton East	2	929
3127	609034	Lake Hayes South	1	905
3128	609035	Jacks Point	1	893
3107	609200	Arrowtown	1	913
3071	609302	Queenstown Hill	3	950
3129	609303	Arthurs Point	1	886
3130	609304	Queenstown Bay	6	987
3072	609400	Balfour Community	6	991
3073	609500	Riversdale Community	3	938
3074	609600	Lumsden Community	8	1033
3075	609700	Edendale Community	5	986
3076	609800	Wyndham	7	1015
3077	609911	Makarewa North	2	929
3108	609912	Makarewa	1	900
3079	609913	Bay Road West	2	918
3109	609914	Mill Road-Woodend	2	920
3110	609921	Bushy Point	1	880
3111	609922	Otatara	1	895
3083	610010	Charlton	3	936
3084	610020	Waikaia	4	953
3085	610031	Kaweku	3	950
3086	610032	Chatton	3	942
3087	610033	Kaiwera	3	945
3088	610040	Hokonui	3	944
3089	610051	Waianiwa	3	941
3090	610052	Oreti Beach	4	960
3091	610061	Dacre	4	954
3092	610062	Myross Bush	1	878
3094	610072	Waituna	4	959
3095	610073	Woodlands	5	976
3112	610074	Greenhills	5	977
3096	610080	Toetoes	6	990
3097	610090	Wallacetown	3	952
3098	610210	North Gore	5	975
3099	610220	East Gore	8	1035
3200	610230	Central Gore	7	1021
3201	610240	West Gore	5	980
3202	610250	South Gore	8	1054
3203	610400	Mataura	9	1083
3204	610500	Winton	5	983
3205	610601	Grasmere	6	994
3114	610602	Waikiwi	3	951
3207	610700	Rosedale	2	925
3208	610800	Gladstone-Avenal	5	968
3209	610900	Windsor	6	991
3210	611001	Waverley-Glengarry	8	1034
3211	611002	Hawthorndale	7	1015
3212	611100	Richmond	7	1011
3213	611210	Otakaro Park	9	1103
3214	611220	Crinan	10	1175
3215	611300	West Invercargill	10	1161
3216	611400	Georgetown	8	1058
3217	611500	Newfield-Rockdale	7	1023
3218	611601	Heidelberg	8	1057
3219	611602	Strathern	9	1072
3220	611700	Appleby-Kew	9	1106
3300	611800	Kingswell-Clifton	8	1039
3222	611900	Tisbury	2	934
3223	612100	Bluff	8	1058
3224	612200	Nightcaps	10	1133
3225	612300	Ohai	10	1198
3226	612400	Te Anau	4	962
3227	612500	Tuatapere	9	1064
3228	612600	Otautau	8	1033
3230	612712	Manapouri	5	976
3231	612713	Mossburn	5	981
3315	612714	Mararoa River	2	924
3232	612720	Wairio	5	973
3233	612730	Te Waewae	7	1013
3301	612740	Fairfax	6	991
3302	612801	Riverton East	8	1057
3303	612802	Riverton West	7	1010
3237	613000	Stewart Island	6	998
3243	614700	Inlet-Whangaroa Harbour	10	1128
3244	614800	Inlet-Bay of Islands	10	1128
3323	615101	Inlet-Tutukaka Harbour	2	932
3249	615900	Little Barrier Island	9	1106
3250	616001	Kaikoura and Rangiahua Islands	9	1106
3251	616002	Inlet-Port Fitzroy	9	1074
3328	617702	Tidal-Tamaki	1	907
3337	617901	Inlet-Waitemata Harbour	2	925
3339	617903	Auckland City-Marinas	2	915
3341	622102	Seaview Marina	8	1053
3291	622201	Inlet-Porirua Harbour	9	1098
2324	623801	Inlet-Tasman Bay	6	1001
3297	624100	Inlet-Buller River	6	1006
3314	625101	Inlet-Port Lyttelton	4	954
3404	625800	Inlet-Otago Harbour	7	1011
